pais,ano,metrica,valor,unidade,fonte
Brasil,2000,Gasto total com saúde,54.63,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2000,Gasto com saúde per capita,313.93,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2001,Gasto total com saúde,47.88,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2001,Gasto com saúde per capita,271.56,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2002,Gasto total com saúde,44.34,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2002,Gasto com saúde per capita,248.38,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2003,Gasto total com saúde,45.71,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2003,Gasto com saúde per capita,253.09,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2004,Gasto total com saúde,54.38,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2004,Gasto com saúde per capita,297.68,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2005,Gasto total com saúde,71.65,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2005,Gasto com saúde per capita,387.93,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2006,Gasto total com saúde,91.37,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2006,Gasto com saúde per capita,489.54,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2007,Gasto total com saúde,114.59,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2007,Gasto com saúde per capita,607.73,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2008,Gasto total com saúde,135.86,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2008,Gasto com saúde per capita,713.67,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2009,Gasto total com saúde,139.94,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2009,Gasto com saúde per capita,728.56,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2010,Gasto total com saúde,175.50,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2010,Gasto com saúde per capita,906.01,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2011,Gasto total com saúde,203.75,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2011,Gasto com saúde per capita,1043.35,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2012,Gasto total com saúde,190.72,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2012,Gasto com saúde per capita,968.73,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2013,Gasto total com saúde,197.25,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2013,Gasto com saúde per capita,993.80,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2014,Gasto total com saúde,206.22,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2014,Gasto com saúde per capita,1030.66,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2015,Gasto total com saúde,160.56,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2015,Gasto com saúde per capita,796.15,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2016,Gasto total com saúde,164.65,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2016,Gasto com saúde per capita,810.20,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2017,Gasto total com saúde,195.44,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2017,Gasto com saúde per capita,954.75,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2018,Gasto total com saúde,181.43,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2018,Gasto com saúde per capita,880.28,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2019,Gasto total com saúde,180.11,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2019,Gasto com saúde per capita,868.17,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2020,Gasto total com saúde,142.05,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2020,Gasto com saúde per capita,680.77,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2021,Gasto total com saúde,160.99,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2021,Gasto com saúde per capita,768.27,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2022,Gasto total com saúde,183.23,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2022,Gasto com saúde per capita,871.28,US$ correntes por habitante,World Bank WDI / WHO GHED
Brasil,2023,Gasto total com saúde,213.22,US$ correntes (bilhões),World Bank WDI / WHO GHED (derivado)
Brasil,2023,Gasto com saúde per capita,1009.84,US$ correntes por habitante,World Bank WDI / WHO GHED
