pais,ano,metrica,valor,unidade,fonte
Brasil,2000,Gasto com saúde (% do PIB),8.33,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2001,Gasto com saúde (% do PIB),8.55,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2002,Gasto com saúde (% do PIB),8.70,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2003,Gasto com saúde (% do PIB),8.19,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2004,Gasto com saúde (% do PIB),8.12,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2005,Gasto com saúde (% do PIB),8.04,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2006,Gasto com saúde (% do PIB),8.25,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2007,Gasto com saúde (% do PIB),8.20,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2008,Gasto com saúde (% do PIB),8.01,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2009,Gasto com saúde (% do PIB),8.39,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2010,Gasto com saúde (% do PIB),7.95,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2011,Gasto com saúde (% do PIB),7.79,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2012,Gasto com saúde (% do PIB),7.74,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2013,Gasto com saúde (% do PIB),7.98,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2014,Gasto com saúde (% do PIB),8.40,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2015,Gasto com saúde (% do PIB),8.91,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2016,Gasto com saúde (% do PIB),9.17,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2017,Gasto com saúde (% do PIB),9.47,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2018,Gasto com saúde (% do PIB),9.46,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2019,Gasto com saúde (% do PIB),9.61,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2020,Gasto com saúde (% do PIB),9.62,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2021,Gasto com saúde (% do PIB),9.64,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2022,Gasto com saúde (% do PIB),9.39,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2023,Gasto com saúde (% do PIB),9.73,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Brasil,2024,Gasto com saúde (% do PIB),,% do PIB,n/d — não publicado na base OMS/WB (atualizada 2026-07-13)
Brasil,2025,Gasto com saúde (% do PIB),,% do PIB,n/d — não publicado na base OMS/WB (atualizada 2026-07-13)
Estados Unidos,2000,Gasto com saúde (% do PIB),12.49,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2001,Gasto com saúde (% do PIB),13.17,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2002,Gasto com saúde (% do PIB),14.00,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2003,Gasto com saúde (% do PIB),14.51,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2004,Gasto com saúde (% do PIB),14.55,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2005,Gasto com saúde (% do PIB),14.58,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2006,Gasto com saúde (% do PIB),14.71,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2007,Gasto com saúde (% do PIB),14.92,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2008,Gasto com saúde (% do PIB),15.21,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2009,Gasto com saúde (% do PIB),16.20,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2010,Gasto com saúde (% do PIB),16.20,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2011,Gasto com saúde (% do PIB),16.14,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
Estados Unidos,2012,Gasto com saúde (% do PIB),16.12,% do PIB,World Bank WDI / WHO GHED (SH.XPD.CHEX.GD.ZS)
