pais,ano_iso,semana_iso,data,pct_ili
EUA,2014,1,2014-01-05,5.0
EUA,2014,2,2014-01-12,4.8
EUA,2014,3,2014-01-19,4.7
EUA,2014,4,2014-01-26,4.5
EUA,2014,5,2014-02-02,4.0
EUA,2014,6,2014-02-09,3.6
EUA,2014,7,2014-02-16,3.4
EUA,2014,8,2014-02-23,2.8
EUA,2014,9,2014-03-02,2.3
EUA,2014,10,2014-03-09,2.0
EUA,2014,11,2014-03-16,1.5
EUA,2014,12,2014-03-23,1.2
EUA,2014,13,2014-03-30,1.1
EUA,2014,14,2014-04-06,0.9
EUA,2014,15,2014-04-13,0.9
EUA,2014,16,2014-04-20,1.0
EUA,2014,17,2014-04-27,1.0
EUA,2014,18,2014-05-04,1.1
EUA,2014,19,2014-05-11,1.0
EUA,2014,20,2014-05-18,0.9
EUA,2014,21,2014-05-25,1.3
EUA,2014,22,2014-06-01,1.1
EUA,2014,23,2014-06-08,1.1
EUA,2014,24,2014-06-15,0.9
EUA,2014,25,2014-06-22,1.0
EUA,2014,26,2014-06-29,1.1
EUA,2014,27,2014-07-06,1.0
EUA,2014,28,2014-07-13,1.1
EUA,2014,29,2014-07-20,1.0
EUA,2014,30,2014-07-27,1.1
EUA,2014,31,2014-08-03,1.0
EUA,2014,32,2014-08-10,1.3
EUA,2014,33,2014-08-17,1.1
EUA,2014,34,2014-08-24,1.0
EUA,2014,35,2014-08-31,1.2
EUA,2014,36,2014-09-07,1.0
EUA,2014,37,2014-09-14,1.1
EUA,2014,38,2014-09-21,0.9
EUA,2014,39,2014-09-28,0.9
EUA,2014,40,2014-10-05,1.2
EUA,2014,41,2014-10-12,1.7
EUA,2014,42,2014-10-19,2.1
EUA,2014,43,2014-10-26,2.6
EUA,2014,44,2014-11-02,3.2
EUA,2014,45,2014-11-09,3.7
EUA,2014,46,2014-11-16,4.4
EUA,2014,47,2014-11-23,5.1
EUA,2014,48,2014-11-30,5.8
EUA,2014,49,2014-12-07,6.2
EUA,2014,50,2014-12-14,6.2
EUA,2014,51,2014-12-21,6.7
EUA,2014,52,2014-12-28,6.7
EUA,2015,1,2015-01-04,6.7
EUA,2015,2,2015-01-11,6.7
EUA,2015,3,2015-01-18,6.4
EUA,2015,4,2015-01-25,6.0
EUA,2015,5,2015-02-01,5.3
EUA,2015,6,2015-02-08,4.8
EUA,2015,7,2015-02-15,4.3
EUA,2015,8,2015-02-22,3.7
EUA,2015,9,2015-03-01,2.9
EUA,2015,10,2015-03-08,2.3
EUA,2015,11,2015-03-15,1.7
EUA,2015,12,2015-03-22,1.3
