data,ano,trimestre,moradia_pct_renda,desemprego_pct
2000-01-01,2000,1,5.6,4.03
2000-04-01,2000,2,5.65,3.93
2000-07-01,2000,3,5.68,4.0
2000-10-01,2000,4,5.73,3.9
2001-01-01,2001,1,5.72,4.23
2001-04-01,2001,2,5.79,4.4
2001-07-01,2001,3,5.77,4.83
2001-10-01,2001,4,5.94,5.5
2002-01-01,2002,1,5.82,5.7
2002-04-01,2002,2,5.78,5.83
2002-07-01,2002,3,5.82,5.73
2002-10-01,2002,4,5.84,5.87
2003-01-01,2003,1,5.88,5.87
2003-04-01,2003,2,5.85,6.13
2003-07-01,2003,3,5.79,6.13
2003-10-01,2003,4,5.84,5.83
2004-01-01,2004,1,5.85,5.7
2004-04-01,2004,2,5.85,5.6
2004-07-01,2004,3,5.94,5.43
2004-10-01,2004,4,6.02,5.43
2005-01-01,2005,1,6.27,5.3
2005-04-01,2005,2,6.32,5.1
2005-07-01,2005,3,6.45,4.97
2005-10-01,2005,4,6.54,4.97
2006-01-01,2006,1,6.58,4.73
2006-04-01,2006,2,6.75,4.63
2006-07-01,2006,3,6.91,4.63
2006-10-01,2006,4,7.01,4.43
2007-01-01,2007,1,7.05,4.5
2007-04-01,2007,2,7.07,4.5
2007-07-01,2007,3,7.15,4.67
2007-10-01,2007,4,7.25,4.8
2008-01-01,2008,1,7.17,5.0
2008-04-01,2008,2,6.96,5.33
2008-07-01,2008,3,7.0,6.0
2008-10-01,2008,4,6.95,6.87
2009-01-01,2009,1,6.9,8.27
2009-04-01,2009,2,6.74,9.3
2009-07-01,2009,3,6.67,9.63
2009-10-01,2009,4,6.54,9.93
2010-01-01,2010,1,6.37,9.83
2010-04-01,2010,2,6.2,9.63
2010-07-01,2010,3,6.1,9.47
2010-10-01,2010,4,5.96,9.5
2011-01-01,2011,1,5.73,9.03
2011-04-01,2011,2,5.66,9.07
2011-07-01,2011,3,5.57,9.0
2011-10-01,2011,4,5.45,8.63
2012-01-01,2012,1,5.3,8.27
2012-04-01,2012,2,5.21,8.2
2012-07-01,2012,3,5.19,8.03
2012-10-01,2012,4,4.98,7.8
2013-01-01,2013,1,5.08,7.73
2013-04-01,2013,2,4.98,7.53
2013-07-01,2013,3,4.92,7.23
2013-10-01,2013,4,4.9,6.93
2014-01-01,2014,1,4.81,6.67
2014-04-01,2014,2,4.73,6.2
2014-07-01,2014,3,4.67,6.07
2014-10-01,2014,4,4.6,5.7
2015-01-01,2015,1,4.58,5.53
2015-04-01,2015,2,4.54,5.43
2015-07-01,2015,3,4.52,5.1
2015-10-01,2015,4,4.53,5.03
2016-01-01,2016,1,4.5,4.9
2016-04-01,2016,2,4.5,4.93
2016-07-01,2016,3,4.48,4.9
2016-10-01,2016,4,4.41,4.77
2017-01-01,2017,1,4.36,4.57
2017-04-01,2017,2,4.32,4.37
2017-07-01,2017,3,4.3,4.33
2017-10-01,2017,4,4.28,4.17
2018-01-01,2018,1,4.24,4.03
2018-04-01,2018,2,4.22,3.93
2018-07-01,2018,3,4.19,3.77
2018-10-01,2018,4,4.21,3.83
