País,População (2026),Variação Anual,% Pop. Global,Rank Mundial
Índia,1.476.625.576,"+0,87%","18,45%",1º
China,1.412.914.089,"-0,22%","17,65%",2º
Brasil,213.562.666,"+0,35%","2,67%",7º
Rússia,143.394.458,"-0,42%","1,79%",9º
Etiópia,138.902.185,"+2,53%","1,74%",10º
México,132.997.658,"+0,80%","1,66%",11º
Japão,122.427.731,"-0,55%","1,53%",12º
Vietnã,102.177.431,"+0,57%","1,28%",16º
Turquia,87.926.082,"+0,27%","1,10%",18º
Alemanha,83.644.258,"-0,51%","1,04%",19º
França,66.746.401,"+0,14%","0,83%",23º
Itália,58.926.166,"-0,37%","0,74%",25º
