País,Pop. Masculina,Pop. Feminina,Total,Ano
Brasil,104.295.118,107.703.460,211.998.578,2024
Rússia,66.607.914,76.925.940,143.533.854,2024
Japão,60.480.020,63.495.350,123.975.370,2024
México,63.459.580,67.401.430,130.861.010,2024
Etiópia,66.167.290,65.892.480,132.059.770,2024
Vietnã,49.570.747,51.526.287,101.097.034,2024
Alemanha,41.238.833,42.274.970,83.513.803,2024
Turquia,42.685.629,42.833.032,85.518.661,2024
França,33.215.814,35.300.885,68.516.699,2024
Itália,28.829.387,30.139.600,58.968.987,2024
